name;price;quantity;code
COSTELA SUI C/OSSO CONG SADIA;11;8;7092169420776
AVE FILE COXA/SOBRECOXA CONG KORIN;9;99;7839355986464
CORTES FRANGO PIF PAF S COXA 1KG;7;8;7612895724176
COXA DE FRANGO KORIN CONG;7;58;8683508295715
COXA DE FRANGO PIF PAF 1KG;9;89;2672537773479
COXA SOBRE COXA BANDEJA;8;68;4474355347883
COXINHA DA ASA DE FRANGO SADIA 1KG;8;1;5425969109400
COXINHA DA ASA KORIN 400GR ASSADA CHURRASCO CONG;6;5;2763803496172
COXINHA DAS ASAS DE FRANGO (DRUMETTE) KORIN 600G;5;55;6013146315200
COXINHA DE FRANGO SADIA;9;99;2216463052727
COXINHAS E ASINHAS DE FRANGO CONG ;8;7;4611787060443
FIGADO FRANGO KORIN 600GR BDJ CONGELADO;6;79;1896350802869
FILE DE FRANGO;7;8;5265144736152
FILE DE PEITO DE FRANGO CONGELADO KORIN 600G;6;66;8266442084903
FILE DE PEITO DE FRANGO SADIA 1KG;8;98;3063037453503
FILE PEITO DE FRANGO SADIA 1KG;11;99;4700115471229
FILEZINHO DE PEITO DE FRANGO CONGELADO PIF PAF 1KG;10;95;9684359610321
FILEZINHO DE PEITO PERDIG ;8;88;6989528583822
FILEZINHO SASSAMI KORIN 600GR BDJ CONGELADO;7;66;9681387400786
MEIO DA ASA KORIN 400GR ASSADA CHURRASCO CONG;6;98;7347634198857
SAMBIQUIRA DE FRANGO RS;5;78;9712620015092
SOBRECOXA DE FRANGO KORIN CONG;5;65;6361108779436
SOBRECOXA DE FRANGO SEM PELE CONGELADO KORIN;7;55;9902099461031
SOBRECOXAS CONG PERDIGAO ;8;7;7712637454703
BACON EM FATIAS SADIA 250G;10;10;7470575612968
BANCON EM FATIAS PERDIGAO;9;19;5734662985519
COPA FATIADO PERDIGAO;12;96;3148308573039
INGRED P/FEIJOADA PERDIGAO CON;11;85;2566257103391
INGREDIENTES P / FEIJOADA SADIA;8;7;2272141089760
INGREDIENTES P/ FEIJOADA;8;7;2737737114697
JERKED BEEF DIAN;8;55;6747205163385
BACALHAU DESSALGADO DESFIADO PIF PAF;8;61;8350722259113
PO DE OSTRAS 100G SC SPIRRO ;8;57;7945392880929
